,prod_color,article_id
25217,"Bae Casual Slacks, color:  Black",611829004
25222,"Cheesecake Balconette Sofia, color:  White",611878001
25223,"Cheesecake Balconette Sofia, color:  Light Pink",611878003
25224,"Cheesecake Balconette Sofia, color:  Light Yellow",611878004
25225,"Cheesecake Balconette Sofia, color:  Black",611878006
25247,"Max, color:  Black",611939001
25251,"Merlin jumper, color:  Greenish Khaki",611952001
25252,"Merlin jumper, color:  Black",611952002
25256,"Lazer Razer Adj. PTriangle, color:  Black",612004001
25257,"Lazer Razer Push Triangle, color:  Other Red",612004002
25258,"Lazer Razer Push Triangle, color:  White",612004006
25265,"Sweet pea, color:  White",612064001
25266,"Sweet pea, color:  Light Blue",612064003
25267,"Sweet pea, color:  Dark Blue",612064007
25268,"Sweet pea, color:  Greenish Khaki",612064008
25269,"Barza, color:  Black",612075001
25270,"Barza, color:  Black",612075002
25271,"Barza, color:  Black",612075004
25272,"Barza trousers, color:  Dark Blue",612075006
25273,"Barza trousers, color:  Beige",612075007
25274,"Barza trousers, color:  Black",612075008
25281,"Class Clova bracelet, color:  Silver",612079002
25284,"Chihuhua, color:  Black",612109002
25296,"Burcu Satin Scarf, color:  Light Pink",612138001
25297,"Burcu Satin Scarf, color:  Dark Yellow",612138004
25298,"Burcu Satin Scarf, color:  Light Pink",612138006
25300,"Virgo Sailer Cap, color:  Black",612170001
25301,"Virgo Sailer Cap, color:  Yellowish Brown",612170002
25302,"Wired Push, color:  Dark Green",612175001
25303,"Pluto RW slacks, color:  Black",612182001
25304,"Pluto slacks, color:  Dark Blue",612182002
25305,"Pluto slacks, color:  Black",612182004
25306,"Pluto slacks, color:  White",612182005
25307,"Pluto slacks, color:  Light Blue",612182010
25308,"Pluto slacks, color:  Dark Blue",612182013
25309,"Pluto RW slacks, color:  White",612182014
25310,"Wired Brief, color:  Dark Green",612193003
25311,"Modi Raw Edge Straw Hat, color:  Black",612204001
25312,"Romantic Rosie watch, color:  Light Beige",612249001
25313,"Romantic Rosie watch, color:  Grey",612249002
25314,"Romantic Rosie watch, color:  Black",612249003
25318,"Kiara Straw Hat, color:  Black",612277001
25319,"Firenze, color:  Dark Blue",612288001
25320,"Firenze (1), color:  Dark Turquoise",612288002
25321,"Firenze (1), color:  Dark Grey",612288003
25322,"Firenze, color:  Dark Blue",612288004
25323,"Firenze (1), color:  Dark Orange",612288005
25330,"Madrid trousers, color:  Black",612302005
25331,"Jett trousers, color:  Black",612305001
25337,"Fissa Bralette Valencia, color:  White",612358001
25338,"Fissa Bralette Valencia, color:  Orange",612358002
25339,"Fissa Bralette Valencia, color:  Black",612358004
25341,"Brillo hip belt, color:  Black",612420001
25342,"Brillo hip belt, color:  Dark Red",612420006
25343,"Moonlight Padded T-shirt, color:  Red",612425001
25344,"Moonlight Padded T-shirt, color:  White",612425002
25350,"ED Pamela (1), color:  Dark Grey",612481001
25351,"ED Pamela (1), color:  Blue",612481002
25352,"ED Pamela (1), color:  Light Blue",612481004
25353,"ED Pamela (1), color:  Light Blue",612481005
25354,"ED Pamela (1), color:  Dark Grey",612481007
25355,"ED Pamela, color:  Red",612481008
25356,"cacoon top solid, color:  Other Blue",612489001
25366,"Cheesecake aster brazilian, color:  Light Pink",612514001
25367,"Cheesecake aster brazilian, color:  Light Yellow",612514005
25368,"Cheesecake aster brazilian, color:  Black",612514006
25369,"Moonlight aster brazlilian, color:  Red",612536001
25370,"Moonlight aster brazlilian, color:  Red",612536002
25371,"Moonlight aster brazlilian, color:  White",612536003
25372,"Moonlight aster brazlilian, color:  Light Pink",612536004
25373,"CSP Tiger, color:  Black",612537001
25374,"ED Pamela fancy, color:  Blue",612554003
25375,"Brother, color:  Black",612574001
25376,"Brother, color:  Off White",612574002
25377,"Oliver, color:  Black",612609003
25382,"Manx essentials blz, color:  Black",612664001
25383,"Butter Push Embroid Balboa, color:  Black",612674002
25384,"Butter Push Embroid Balboa, color:  Black",612674004
25386,"Butter Brazilian Azalea Low, color:  Black",612715001
25387,"Butter Brazilian Azalea Low, color:  Black",612715003
25402,"Marocco, color:  Dark Blue",612788003
25403,"Pia Pyjama, color:  Black",612789001
25404,"Darby, color:  Dark Blue",612800001
25405,"Darby, color:  Black",612800002
25406,"Darby, color:  Red",612800007
25407,"Darby blouse, color:  Light Pink",612800008
25408,"Darby blouse, color:  Black",612800009
25409,"Darby, color:  Yellow",612800010
25410,"Darby, color:  White",612800011
25411,"Darby blouse, color:  Light Pink",612800016
25412,"Darby blouse, color:  Beige",612800018
25413,"Darby blouse, color:  Black",612800020
25418,"Cream Top, color:  Off White",612854001
25419,"Cream Top, color:  Dark Green",612854002
25420,"Cream Top, color:  Black",612854003
25421,"Cream Top, color:  Red",612854004
25426,"PE Right wrap suede skirt, color:  Black",612879001
25427,"PE Paris soft bra, color:  Black",612882001
25428,"PE Paris soft bra, color:  Grey",612882002
25429,"PE Venice underwear, color:  Grey",612883002
25430,"Phantom Dress (1), color:  Red",612891001
25431,"Phantom Dress (1), color:  Dark Blue",612891002
25432,"Phantom Dress (1), color:  Black",612891003
25433,"Phantom Dress (1), color:  Black",612891005
25434,"Phantom Dress (1), color:  Black",612891008
25448,"SPEED Karma Dress, color:  Black",612935001
25449,"SPEED Karma Dress, color:  Dark Blue",612935002
25450,"SPEED Karma Dress, color:  Dark Blue",612935005
25451,"SPEED Karma Dress, color:  Off White",612935007
25452,"Karma dress, color:  Black",612935009
25453,"Karma dress, color:  Black",612935010
25456,"Flirty Emma Earrings, color:  Black",612946001
25457,"Flirty Lindsey earring, color:  Gold",612960001
25458,"Flirty Lindsey earring, color:  Silver",612960003
25460,"Flora push balboa, color:  White",612988001
25461,"Flora push balboa, color:  Black",612988002
25462,"Flora push balboa, color:  Greenish Khaki",612988003
25470,"Blanche top, color:  Dark Blue",613060002
25471,"Flirty Flora stud pk, color:  Silver",613062002
25473,"W Palm skirt EQ, color:  Dark Green",613079001
25475,"Fissa strappy body, color:  Black",613084001
25476,"Fissa strappy body, color:  White",613084002
25479,"Sunshine dress, color:  Dark Blue",613106001
25487,"Boyfriend L.W, color:  White",613133003
25489,"Dash, color:  Dark Grey",613147001
25490,"Dash, color:  Light Blue",613147002
25491,"Dash, color:  Blue",613147003
25501,"All set tunic, color:  White",613190002
25504,"Luna destroy (1), color:  Blue",613246001
25505,"Luna destroy (1), color:  Grey",613246002
25506,"Luna destroy, color:  Light Blue",613246003
25507,"Luna destroy (1), color:  Blue",613246004
25508,"Luna destroy (1), color:  Dark Blue",613246006
25526,"RALPH HOOD aop, color:  Dark Blue",613358001
25529,"W Beijing dress EQ, color:  Orange",613380001
25530,"W Beijing dress EQ, color:  Black",613380002
25531,"Twiggy n-slip, color:  Black",613387001
25532,"Biscotti, color:  Black",613405001
25533,"Biscotti, color:  Dark Orange",613405002
25534,"PE Valentina knit, color:  Dark Beige",613424001
25535,"PE Valentina knit, color:  Dark Blue",613424003
25536,"PE Mallo knit, color:  Orange",613426005
25537,"PE Mallo knit, color:  Grey",613426006
25538,"Valentino, color:  Black",613456001
25539,"Valentino, color:  White",613456002
25540,"Valentino, color:  Light Blue",613456003
25541,"Valentino, color:  Dark Grey",613456007
25542,"Valentino, color:  Dark Red",613456009
25543,"Valentino, color:  Red",613456011
25544,"Lauren, color:  White",613457001
25545,"Lauren, color:  Light Beige",613457002
25546,"Lauren, color:  Dark Blue",613457003
25547,"Lauren, color:  Light Beige",613457004
25548,"Lauren, color:  White",613457006
25549,"Lauren, color:  Black",613457007
25550,"Lauren, color:  Orange",613457008
25551,"Gavino, color:  Black",613459001
25552,"Gavino, color:  White",613459002
25553,"Gavino, color:  Light Pink",613459003
25554,"Gavino, color:  Light Blue",613459004
25555,"Gavino, color:  White",613459005
25556,"Gavino, color:  Dark Grey",613459012
25557,"Gavino, color:  White",613459017
25558,"Gavino, color:  White",613459018
25559,"Cher top, color:  White",613460001
25560,"Cher top, color:  Black",613460005
25561,"Nop sweater, color:  Grey",613463001
25562,"Nop sweater, color:  Light Pink",613463003
25563,"CSP Miley, color:  White",613465001
25564,"CSP Miley, color:  Light Blue",613465002
25565,"CSP Miley, color:  Black",613465003
25566,"CSP Miley, color:  Dark Orange",613465004
25567,"CSP Miley, color:  White",613465005
25568,"CSP Miley, color:  Dark Blue",613465007
25569,"Superwomen, color:  Light Pink",613467001
25570,"Superwomen, color:  Dark Green",613467002
25572,"Sake draw tie, color:  Dark Blue",613494001
25573,"Sake draw tie, color:  Red",613494002
25574,"Kim SL-set, color:  Light Pink",613497001
25575,"Kim SL-set, color:  Black",613497003
25576,"Kim SL-set, color:  White",613497005
25577,"Kim SL-set, color:  Black",613497006
25578,"Kim SL-set, color:  Dark Red",613497008
25579,"PE Isa cashmere knit, color:  Grey",613508003
25580,"PE Mine cashmere knit, color:  Black",613509003
25581,"Petra pintuck, color:  Black",613512001
25584,"Houston, color:  Red",613521001
25585,"Houston, color:  Black",613521002
25586,"Souffle, color:  Black",613522001
25587,"CE Malva dress, color:  Light Grey",613529001
25588,"CE Myrtle dress, color:  Light Grey",613530001
25589,"CE Hibiscus bra, color:  Dark Blue",613531001
25590,"CE Hibiscus bra, color:  Light Beige",613531002
25591,"CE Aster panty, color:  Light Beige",613532002
25592,"CE Tulip trousers, color:  Dark Green",613533001
25593,"CE Physalis top, color:  Dark Green",613534001
25594,"CE Snowdrop dress, color:  Dark Blue",613535001
25595,"CE Ruby skirt, color:  Dark Green",613538003
25596,"CE Ivy lace dress, color:  Off White",613539001
25597,"CE Geranium dress, color:  Off White",613541001
25598,"CE Wallflower dress, color:  Black",613542001
25599,"CE Magnolia blazer, color:  Black",613544001
25600,"CE Orchid trousers, color:  Black",613545001
25601,"CE Rudbeckia shirt, color:  White",613546001
25602,"CE Rudbeckia shirt, color:  Dark Blue",613546002
25603,"CE Clover shirt, color:  Dark Blue",613547001
25604,"CE Begonia shirt, color:  Dark Blue",613548001
25605,"Gwyndalynn coat, color:  Dark Green",613551002
25606,"Pinus Jacket, color:  Light Beige",613569002
25607,"Pinus Jacket, color:  Greenish Khaki",613569004
25608,"Pinus Jacket, color:  Light Grey",613569011
25610,"MC Vermont fancy trs, color:  Black",613618001
25611,"MC Vermont fancy trs, color:  Light Blue",613618002
25612,"MC Vermont fancy trs, color:  Light Grey",613618003
25613,"Carry Dress, color:  Black",613643003
25616,"Slim cargo, color:  Greenish Khaki",613666002
25617,"Slim cargo RW, color:  Greenish Khaki",613666003
25618,"Slim cargo RW, color:  Greenish Khaki",613666005
25622,"Flick printed robe, color:  Dark Blue",613703001
25635,"Miranda dress, color:  Grey",613810001
25636,"OL DAME ballerina, color:  Black",613811001
25637,"OL DAME ballerina, color:  Silver",613811002
25639,"Roy knitted top, color:  Black",613815001
25640,"Roy knitted top, color:  Beige",613815002
25641,"Roy knitted top, color:  Off White",613815003
25646,"W Sark skirt EQ, color:  Dark Grey",613836001
25647,"W Sark skirt EQ, color:  Dark Pink",613836002
25648,"PE BRITTA BO, color:  White",613837003
25649,"PE BRITTA BO, color:  Orange",613837004
25650,"Class Leffe necklace, color:  Silver",613838001
25651,"Class Leffe necklace, color:  Gold",613838002
25655,"Flirty Leaf necklace, color:  Gold",613851001
25656,"Class Rulle necklace, color:  Gold",613857001
25657,"Class Rulle necklace, color:  Silver",613857002
25658,"Cool Wonder earring(1), color:  Black",613858005
25659,"Cool Wonder earring(1), color:  Light Orange",613858006
25660,"CE - BALL earring, color:  Dark Green",613868001
25661,"CE - GAIA slingback, color:  Black",613874001
25662,"Dreamy push Balboa, color:  White",613911001
25663,"Dreamy bikini clover CH low, color:  White",613913001
25667,"Cool Balloon bangle, color:  Gold",613925001
25669,"Freja roll up, color:  Dark Blue",613942005
25670,"Freja roll up, color:  White",613942006
25671,"Freja roll up, color:  Black",613942009
25672,"Freja roll up, color:  Light Pink",613942010
25673,"Freja roll up, color:  Light Grey",613942011
25676,"PE IO SKIRT NEW, color:  Dark Grey",613967003
25677,"Wannabe Superpush Basic, color:  Black",613993001
25681,"2nd skin, color:  Black",614010001
25682,"2nd skin, color:  Black",614010003
25683,"2nd skin PU, color:  Black",614010004
25684,"Speed: High Sparrow, color:  Black",614044003
25685,"ED Daytime cardigan, color:  Beige",614066001
25686,"ED Daytime cardigan, color:  Dark Blue",614066002
25687,"Star Dress Punto, color:  Red",614091001
25691,"Gina, color:  Black",614099001
25692,"Gina, color:  Dark Red",614099005
25708,"Lovisa Wrap Dress, color:  Dark Blue",614316001
25709,"Lovisa Wrap Dress, color:  Black",614316002
25710,"Lovisa Wrap Dress, color:  White",614316003
25712,"Vail Slipper new, color:  Light Pink",614353001
25716,"Pedro solid swimsuit, color:  Dark Yellow",614412002
25717,"BYN Meet the parents, color:  Light Purple",614422001
25718,"BYN Meet the parents, color:  Dark Blue",614422002
25719,"BYN Bridesmaid dress, color:  Light Blue",614423001
25720,"BYN Maid of Honor dress, color:  Light Pink",614426001
25721,"BYN Maid of Honor dress, color:  Black",614426002
25739,"Strawberry Push Melbourne, color:  Black",614496001
25740,"Strawberry Push Melbourne, color:  White",614496002
25741,"Strawberry Push Melbourne, color:  Pink",614496003
25742,"Strawberry Push Melbourne, color:  Light Pink",614496004
25751,"Tier Dress, color:  Greenish Khaki",614543006
25752,"Spam top, color:  Blue",614545001
25753,"SC ARGAN trouser, color:  Dark Blue",614607001
25754,"SC ARGAN trouser, color:  Dark Green",614607002
25758,"SC MAAYA blazer, color:  Dark Blue",614626001
25768,"SC SERENE skirt, color:  Black",614655001
25771,"Mandy tencel, color:  Blue",614688001
25772,"Occasional Holly Nightslip, color:  White",614700001
25781,"Zorro Blouse, color:  Black",614729002
25782,"Zorro Blouse, color:  White",614729004
25783,"OL TRUMP pump, color:  Orange",614734001
25784,"OL TRUMP pump, color:  Blue",614734002
25785,"OL TRUMP pump, color:  Yellowish Brown",614734003
25786,"OL TRUMP pump, color:  Dark Grey",614734008
25787,"No Scrubs, color:  Dark Blue",614736001
25791,"Petra sweater, color:  Grey",614823001
25793,"Ellen Superpush (Andes) 2pk, color:  Dark Grey",614848001
25794,"Ellen Superpush (Andes) 2pk, color:  Light Pink",614848003
25795,"Ellen Superpush (Andes) 2pk, color:  Black",614848005
25796,"Ellen Superpush (Andes) 2pk, color:  Dark Red",614848007
25797,"Fiona brazilian (Acacia) 4p, color:  Light Pink",614854001
25798,"Fiona brazilian (Acacia) 4p, color:  Light Pink",614854003
25799,"Fiona brazilian (Acacia) 4p, color:  Black",614854005
25800,"Fiona brazilian (Acacia) 4p, color:  Dark Blue",614854006
25801,"Fiona brazilian (Acacia) 4p, color:  Black",614854007
25802,"Fiona brazilian (Acacia) 4p, color:  Dark Grey",614854008
25803,"Fiona brazilian (Acacia) 4p, color:  Dark Blue",614854010
25804,"Fiona brazilian (Acacia) 4p, color:  Black",614854011
25805,"Fiona brazilian (Acacia) 4p, color:  Dark Blue",614854012
25806,"Fiona brazilian (Acacia) 4p, color:  Black",614854013
25807,"Fiona brazilian (Acacia) 4p, color:  Light Pink",614854014
25808,"Fiona brazilian (Acacia) 4p, color:  Light Pink",614854016
25809,"Bliss thong (Mynta) Low 3p, color:  Pink",614857001
25810,"Bliss thong (Mynta) Low 3p, color:  Light Pink",614857003
25811,"Bliss thong (Mynta) Low 3p, color:  Dark Pink",614857004
25812,"Rae strapless, color:  Light Pink",614859001
25818,"Aniara Long Sleeve, color:  Dark Red",614950001
25825,"CSP Tora top, color:  Light Blue",615018001
25826,"CSP Tora top, color:  White",615018004
25827,"Luisa tee, color:  White",615021001
25828,"Luisa tee, color:  Grey",615021002
25829,"Luisa tee, color:  White",615021003
25830,"Luisa tee, color:  Grey",615021009
25831,"Luisa tee, color:  White",615021010
25832,"Luisa tee, color:  Light Orange",615021011
25833,"Luisa tee, color:  Dark Blue",615021015
25834,"Luisa tee, color:  White",615021016
25835,"Luisa tee, color:  Grey",615021018
25836,"Luisa tee, color:  White",615021020
25837,"Luisa tee, color:  White",615021021
25838,"Luisa tee, color:  White",615021022
25839,"Luisa tee, color:  Black",615021023
25840,"Luisa tee, color:  Light Pink",615021027
25841,"Luisa tee, color:  Light Beige",615021029
25842,"Sabah tank, color:  Grey",615022002
25843,"Sabah tank, color:  White",615022003
25844,"Sabah tank, color:  White",615022004
25845,"Sabah tank, color:  White",615022005
25846,"Sabah tank, color:  Black",615022014
25847,"Johnny top, color:  Black",615042001
25848,"Johnny top, color:  White",615042002
25849,"Johnny top, color:  Light Blue",615042003
25850,"Johnny top, color:  Light Pink",615042004
25851,"Johnny top, color:  Greenish Khaki",615042005
25852,"Johnny top, color:  Dark Red",615042006
25853,"Johnny top, color:  Dark Orange",615042007
25854,"Johnny top, color:  Dark Blue",615042010
25855,"Dido, color:  Black",615047001
25856,"Dido, color:  Off White",615047002
25857,"Dido, color:  Dark Blue",615047003
25858,"Dido, color:  White",615047004
25859,"Dido, color:  Light Blue",615047007
25860,"Dido, color:  White",615047008
25861,"Kadri, color:  White",615054001
25862,"Kadri, color:  Light Orange",615054002
25863,"Kadri, color:  Black",615054003
25864,"Kadri, color:  Light Blue",615054004
25865,"Kadri, color:  Dark Orange",615054007
25866,"GDC Banana Dress, color:  Black",615073001
25867,"Thalita top, color:  White",615085002
25868,"Thalita top, color:  Black",615085004
25869,"Ambrosia, color:  Off White",615092001
25870,"Ambrosia, color:  Black",615092002
25871,"Inspector leather jacket, color:  Dark Orange",615119001
25872,"Vintage H.W Anke 49.99, color:  Other Orange",615130001
25873,"Myra, color:  Dark Grey",615131001
25874,"Juanos, color:  White",615141001
25875,"Juanos, color:  Black",615141002
25876,"Juanos, color:  Dark Red",615141003
25877,"Juanos, color:  Light Orange",615141004
25878,"Juanos, color:  Green",615141007
25879,"Juanos, color:  Dark Blue",615141010
25880,"Juanos(1), color:  Dark Yellow",615141011
25881,"Summer blouse, color:  Off White",615142008
25882,"Summer blouse, color:  Dark Blue",615142009
25884,"Frill Me Up Swimsuit, color:  Black",615149001
25885,"Claire silk tee, color:  White",615154001
25886,"Claire silk tee, color:  Black",615154002
25887,"Toni linen trouser, color:  Off White",615159001
25888,"Nora dress, color:  Red",615161001
25889,"Nora dress, color:  Dark Blue",615161002
25890,"Nora dress, color:  Light Pink",615161003
25891,"Nora dress, color:  Black",615161004
25892,"Vincent, color:  Black",615169004
25893,"Vincent, color:  Dark Red",615169005
25894,"Vincent, color:  Off White",615169006
25895,"Petra in AOP, color:  Dark Blue",615170001
25896,"Turando jumpsuit, color:  Dark Blue",615173002
25897,"Cymric linen blazer, color:  Off White",615176001
25898,"Unni jumpsuit, color:  Black",615177001
25907,"Lotta Blouse, color:  Light Pink",615182007
25908,"Lotta Blouse (1), color:  Light Pink",615182009
25909,"James, color:  Black",615183001
25910,"Britney, color:  Dark Blue",615186001
25912,"Hedvig, color:  Dark Blue",615192001
25913,"Hedvig, color:  Light Pink",615192003
25914,"Hedvig, color:  White",615192004
25915,"Hedvig, color:  Black",615192007
25924,"Indi linen, color:  Pink",615217001
25925,"Indi linen, color:  White",615217003
25926,"Indi linen, color:  Dark Blue",615217004
25929,"Samantha bodycon, color:  Black",615230001
25930,"Samantha bodycon, color:  Greenish Khaki",615230003
25931,"SC MIZU dress, color:  Off White",615241001
25932,"SC SHIO dress, color:  Black",615242001
25933,"SC CRISP blouse, color:  White",615243001
25939,"Amy, color:  Blue",615251001
25940,"Amy, color:  Light Pink",615251002
25941,"Firenze 3/4, color:  Dark Blue",615269001
25942,"Firenze 3/4, color:  Black",615269002
25943,"Firenze 3/4, color:  Dark Blue",615269003
25944,"Phantom N dress, color:  Black",615269007
25945,"Phantom N dress, color:  Dark Blue",615269008
25970,"VENUS OTS, color:  Blue",615325001
25971,"VENUS OTS, color:  White",615325002
25972,"VENUS OTS, color:  Dark Blue",615325003
25973,"VENUS OTS, color:  Dark Blue",615325004
25977,"Apple Tie Top, color:  Black",615355004
25983,"Santorini Cross Bag, color:  Pink",615372003
25984,"Santorini Cross Bag, color:  Black",615372004
25985,"Santorini Cross Bag, color:  Silver",615372005
25986,"Santorini Cross Bag, color:  White",615372008
25987,"Santorini Cross Bag, color:  Red",615372009
25988,"Nellie SS, color:  Light Red",615375001
25989,"Nellie SS, color:  Light Green",615375002
26003,"Margarita tie bottom/lolita fu, color:  Black",615462001
26004,"Lolita Thong Mynta Low, color:  Pink",615462004
26005,"Fat Joe dress, color:  Black",615491001
26006,"Fat Joe dress, color:  Black",615491002
26007,"Fat Joe dress, color:  White",615491005
26009,"J Aloha, color:  White",615508001
26010,"J Aloha, color:  Black",615508002
26011,"J Aloha, color:  White",615508003
26012,"J Aloha, color:  Light Blue",615508009
26014,"Rose, color:  Light Beige",615523001
26015,"Rose, color:  Dark Blue",615523005
26016,"Rose, color:  Light Blue",615523006
26017,"Rose, color:  Light Beige",615523007
26018,"J Ingrid, color:  Dark Blue",615524001
26019,"J Ingrid, color:  White",615524002
26020,"J Ingrid, color:  Black",615524003
26021,"J Ingrid, color:  Grey",615524005
26022,"J Jalapeno, color:  Dark Blue",615525001
26023,"J Jalapeno, color:  Black",615525003
26024,"J Jalapeno, color:  White",615525004
26025,"J Jalapeno, color:  Black",615525005
26026,"J Jalapeno, color:  White",615525008
26027,"J Jalapeno, color:  Light Blue",615525009
26031,"ED Miranda jumper, color:  Black",615567001
26034,"SC MOONDUST dress, color:  White",615665001
26035,"SC BEAN one piece, color:  Red",615666003
26036,"SC BEAN one piece, color:  Black",615666004
26037,"SC WONDER dress, color:  Off White",615668003
26038,"SC FLOAT trouser, color:  Black",615673001
26039,"SC FLOAT trouser, color:  Off White",615673004
26040,"SC SERENITY coat, color:  Black",615675001
26041,"SC STONE shirt, color:  Black",615678004
26042,"SC STONE shirt, color:  White",615678005
26043,"SC FUCHIBA shirt, color:  Black",615681004
26045,"SC ENJOY shirt, color:  Dark Blue",615697002
26046,"SC ENJOY shirt, color:  White",615697004
26047,"SPEED shebang earring, color:  Black",615722001
26060,"SPEED Banda necklace, color:  Gold",615790001
26061,"Denim skirt chukar trash, color:  Light Blue",615792001
26062,"&DENIM Vintage HW deco, color:  Dark Blue",615793001
26063,"&DENIM Skinny LW elite, color:  Light Blue",615794001
26064,"&DENIM Kickflare deco, color:  Blue",615795001
26065,"&DENIM Bootcut RW soho, color:  Blue",615796001
26066,"BASIC SHORTS CURVED HEM, color:  Dark Grey",615797001
26067,"BASIC SHORTS CURVED HEM, color:  Dark Blue",615797002
26068,"Speed Album hoops, color:  Gold",615801001
26069,"Speed Album hoops, color:  Silver",615801002
26070,"Murphy dress, color:  Dark Blue",615804001
26071,"Murphy dress, color:  Light Pink",615804002
26072,"Murphy dress, color:  Dark Turquoise",615804006
26073,"Wally, color:  Black",615805001
26074,"Elvis top, color:  White",615805003
26075,"Balti lace dress, color:  White",615806001
26076,"Balti lace dress, color:  Dark Turquoise",615806002
26077,"LARRY LINEN, color:  Dark Blue",615808001
26078,"LARRY LINEN, color:  Light Beige",615808002
26079,"LARRY LINEN, color:  Orange",615808003
26080,"LARRY LINEN, color:  Dark Grey",615808004
26088,"Everlacing love swimsuit, color:  Dark Green",615934004
26089,"Everlacing love swimsuit, color:  Black",615934006
26090,"Everlacing love swimsuit, color:  Orange",615934008
26091,"Everlacing love swimsuit, color:  Light Blue",615934009
26092,"Back Everlacing love Top, color:  Black",615936002
26093,"Back Everlacing love Top, color:  Other Pink",615936003
26094,"Everlacing love highwaist, color:  Black",615938001
26095,"Everlacing Love Top, color:  Black",615939001
26096,"Everlacing Love Top, color:  Dark Green",615939006
26097,"Everlacing Love Top, color:  Dark Green",615939007
26098,"Everlacing Love Brief, color:  Black",615941001
26099,"Everlacing Love Brief, color:  Dark Green",615941006
26100,"Everlacing Love Brief, color:  Dark Green",615941007
26101,"Jamaica sandalette, color:  Dark Yellow",615950001
26102,"Tove tencel, color:  Greenish Khaki",615951001
26115,"Tess capri pants, color:  Black",615977001
26116,"Tess capri pants, color:  White",615977002
26117,"Timeless Xtra cheeky brazilian, color:  Black",615986003
26118,"Timeless Xtra Cheeky Brazillia, color:  Beige",615986010
26119,"Come clean bandeau, color:  Light Yellow",615988002
26120,"Come clean bandeau, color:  Dark Green",615988003
26121,"Come clean bandeau, color:  Other Pink",615988004
26122,"CE - Physalis top jacquard, color:  Off White",616001001
26123,"CE - Physalis top jacquard, color:  Black",616001003
26124,"Kaj trouser, color:  Black",616021001
26127,"Shoulder top, color:  Black",616030001
26128,"Cool Gaetana two-pack, color:  Black",616049001
26129,"Gaetana 2p headband, color:  Black",616049002
26130,"Cool Gaetana two-pack, color:  Dark Blue",616049008
26131,"Cool Gaetana two-pack, color:  Black",616049009
26132,"Cool Gaetana two-pack, color:  Yellow",616049012
26133,"Cool Gaetana two-pack, color:  White",616049014
26134,"Cool Gaetana two-pack, color:  Red",616049015
26135,"Cool Gaetana two-pack, color:  Dark Yellow",616049021
26136,"Merlot Wool Coat., color:  White",616070001
26137,"Merlot Wool Coat., color:  Light Pink",616070002
26138,"Vanilla Ice Brief, color:  Light Purple",616086001
26139,"Vanilla Ice Brief, color:  Black",616086002
26140,"Vanilla Ice Brief, color:  Light Yellow",616086008
26141,"Vanilla Ice Top, color:  Light Purple",616088001
26142,"Vanilla Ice Top, color:  Black",616088002
26143,"Vanilla Ice Top, color:  Light Yellow",616088013
26144,"ED Nador coat, color:  Light Beige",616096001
26145,"Papi chulo swimsuit, color:  Other Purple",616097004
26146,"Meshed up top, color:  Black",616098001
26147,"Meshed Up Highwaist, color:  Black",616099001
26148,"Meshed up swimsuit, color:  Black",616100001
26149,"Elastic heart top, color:  Black",616101001
26150,"Elastic heart highwaist, color:  Black",616102001
26174,"LOGG Merlot wool coat., color:  White",616164001
26175,"Lewis throw on, color:  Black",616193001
26176,"Lewis throw on, color:  Grey",616193002
26178,"Naturella sweater, color:  Light Yellow",616201004
26179,"Naturella sweater, color:  White",616201006
26180,"Naturella sweater, color:  Light Green",616201009
26182,"Sasha trousers, color:  Dark Blue",616221003
26183,"Frank dress, color:  Black",616222001
26184,"Frank dress, color:  Red",616222002
26203,"Gosig, color:  Light Orange",616231001
26204,"Gosig, color:  Black",616231002
26209,"Klara, color:  Black",616249001
26210,"Appeltini 5 pocket, color:  Light Blue",616263001
26211,"Appeltini 5 pocket, color:  White",616263003
26221,"2p Inez brazilian (Acacia), color:  Black",616337001
26222,"2p Inez brazilian (Acacia), color:  Dark Pink",616337002
26236,"Peaches dress, color:  Black",616451001
26237,"ES Lois U-neck, color:  Black",616453001
26238,"ES Lois U-neck, color:  Grey",616453003
26239,"ES Lois U-neck, color:  White",616453004
26240,"Zanzibar wide trs, color:  Greenish Khaki",616504001
26241,"Zanzibar wide trs, color:  Black",616504002
26244,"Flirty Flower ringpk, color:  Gold",616540001
26245,"Flirty Flower ringpk, color:  Silver",616540002
26246,"Flirty Flower ringpk, color:  Light Orange",616540003
26247,"ES Hermine, color:  Black",616543005
26248,"ES Hermine, color:  White",616543006
26249,"ES Hermine, color:  Greenish Khaki",616543007
26252,"ES Lemon tee, color:  Greenish Khaki",616559002
26253,"ES Lemon tee, color:  White",616559003
26256,"SPEED Daffodil, color:  Dark Blue",616585001
26268,"PQ Wayne sunglasses, color:  Yellowish Brown",616606001
26270,"PQ Alison sunglasses, color:  Yellowish Brown",616626001
26271,"Miss fancy pants, color:  Black",616632001
26272,"PQ Cilla sunglasses, color:  Light Beige",616635001
26273,"PQ Cilla sunglasses, color:  Dark Orange",616635002
26274,"PQ Cilla sunglasses, color:  Dark Yellow",616635003
26275,"Juanitta, color:  Black",616636001
26276,"Juanitta, color:  Dark Blue",616636002
26277,"Juanitta, color:  Light Orange",616636003
26278,"Flirty Blom earring pack, color:  Gold",616641001
26284,"Class OP Hoop, color:  Gold",616705001
26285,"Class OP Hoop, color:  Silver",616705002
